timestamp,height_px,height_cm,height_cm_smooth,method
20251117_140016,16,83,,,hsv,,352,734,386,817
20251117_140018,0,35,,,hsv,,1736,1033,1763,1068
20251117_140018,1,49,,,hsv,,1344,784,1376,833
20251117_140020,5,944,,,yolo,,539,154,1321,1098
20251117_140022,5,1015,,,yolo,,423,24,1248,1039
20251117_140024,0,47,,,hsv,,1413,1033,1451,1080
20251117_140026,0,31,,,hsv,,576,1041,596,1072
20251117_140026,1,63,,,hsv,,728,993,745,1056
20251117_140026,2,33,,,hsv,,1155,943,1177,976
20251117_140026,3,95,,,hsv,,1248,848,1314,943
20251117_140026,4,38,,,hsv,,16,812,43,850
20251117_140026,5,64,,,hsv,,0,768,21,832
20251117_140028,0,39,,,hsv,,1105,976,1126,1015
20251117_140028,1,35,,,hsv,,210,972,239,1007
20251117_140031,0,1080,,,hsv,,0,0,600,1080
20251117_140047,0,40,,,hsv,,163,928,190,968
20251117_140047,1,55,,,hsv,,22,906,45,961
20251117_140047,2,50,,,hsv,,291,903,313,953
20251117_140047,3,108,,,hsv,,431,895,475,1003
20251117_140047,4,62,,,hsv,,187,800,217,862
20251117_140050,0,41,,,hsv,,1424,879,1457,920
20251117_140050,1,34,,,hsv,,479,798,496,832
20251117_140050,2,82,,,hsv,,0,783,64,865
20251117_140050,3,66,,,hsv,,1088,779,1110,845
20251117_140052,0,989,,,hsv,,0,91,746,1080
20251117_140054,0,63,,,hsv,,659,1017,698,1080
20251117_140054,1,53,,,hsv,,1528,924,1548,977
20251117_140054,2,30,,,hsv,,768,905,792,935
20251117_140054,3,252,,,hsv,,0,801,48,1053
20251117_140056,0,63,,,hsv,,653,1001,672,1064
20251117_140056,1,36,,,hsv,,632,923,656,959
20251117_140056,2,628,,,hsv,,0,452,523,1080
20251117_140058,0,63,,,hsv,,922,992,952,1055
20251117_140058,1,57,,,hsv,,1113,832,1130,889
20251117_140101,0,34,,,hsv,,1268,932,1294,966
20251117_140101,1,127,,,hsv,,614,930,658,1057
20251117_140101,2,55,,,hsv,,1220,927,1247,982
20251117_140101,3,78,,,hsv,,1313,896,1376,974
20251117_140101,4,67,,,hsv,,528,831,566,898
20251117_140101,5,35,,,hsv,,360,809,382,844
20251117_140101,6,98,,,hsv,,319,737,358,835
20251117_140101,7,215,,,hsv,,612,705,657,920
20251117_140103,0,913,,,hsv,,0,0,616,913
20251117_140105,0,41,,,hsv,,1648,1039,1682,1080
20251117_140105,1,41,,,hsv,,1151,1039,1185,1080
20251117_140105,2,42,,,hsv,,1759,1038,1792,1080
20251117_140105,3,45,,,hsv,,184,1035,204,1080
20251117_140105,4,49,,,hsv,,920,1024,956,1073
20251117_140105,5,50,,,hsv,,870,1023,891,1073
20251117_140105,6,33,,,hsv,,1080,1008,1104,1041
20251117_140105,7,50,,,hsv,,1344,1007,1371,1057
20251117_140105,8,57,,,hsv,,807,1007,842,1064
20251117_140105,9,49,,,hsv,,1695,975,1719,1024
20251117_140105,10,48,,,hsv,,943,960,962,1008
20251117_140105,11,82,,,hsv,,1454,959,1506,1041
20251117_140105,12,34,,,hsv,,1183,959,1202,993
20251117_140105,13,48,,,hsv,,1865,928,1890,976
20251117_140105,14,64,,,hsv,,1823,928,1841,992
20251117_140105,15,154,,,hsv,,161,918,264,1072
20251117_140105,16,93,,,hsv,,756,884,800,977
20251117_140105,17,66,,,hsv,,1487,879,1522,945
20251117_140105,18,49,,,hsv,,1647,832,1665,881
20251117_140105,19,66,,,hsv,,1183,831,1201,897
20251117_140105,20,97,,,hsv,,1871,815,1912,912
20251117_140105,21,66,,,hsv,,1199,799,1249,865
20251117_140105,22,60,,,hsv,,175,772,197,832
20251117_140105,23,66,,,hsv,,1806,767,1857,833
20251117_140105,24,50,,,hsv,,1550,767,1569,817
20251117_140105,25,65,,,hsv,,1088,767,1138,832
20251117_140107,0,47,,,hsv,,704,976,737,1023
20251117_140107,1,31,,,hsv,,976,959,1001,990
20251117_140107,2,82,,,hsv,,751,927,818,1009
20251117_140107,3,42,,,hsv,,0,918,19,960
20251117_140107,4,50,,,hsv,,967,895,993,945
20251117_140107,5,39,,,hsv,,1888,865,1920,904
20251117_140107,6,114,,,hsv,,1183,815,1233,929
20251117_140107,7,63,,,hsv,,1871,800,1901,863
20251117_140107,8,65,,,hsv,,512,767,552,832
20251117_140107,9,1080,,,hsv,,0,0,805,1080
20251117_140109,0,48,,,hsv,,294,1032,325,1080
20251117_140109,1,63,,,hsv,,1904,929,1920,992
20251117_140109,2,34,,,hsv,,671,911,689,945
20251117_140109,3,80,,,hsv,,1871,831,1920,911
20251117_140109,4,66,,,hsv,,767,831,801,897
20251117_140109,5,65,,,hsv,,783,784,833,849
20251117_140109,6,82,,,hsv,,619,767,662,849
20251117_140111,0,41,,,hsv,,1429,1039,1456,1080
20251117_140111,1,93,,,hsv,,872,894,922,987
20251117_140111,2,209,,,hsv,,1040,871,1121,1080
20251117_140111,3,199,,,hsv,,1599,773,1730,972
20251117_140111,4,75,,,hsv,,1889,757,1920,832
20251117_140113,0,95,,,hsv,,1328,985,1373,1080
20251117_140113,1,120,,,hsv,,1228,960,1322,1080
20251117_140113,2,39,,,hsv,,1330,958,1360,997
20251117_140113,3,105,,,hsv,,1008,792,1046,897
20251117_140113,4,34,,,hsv,,736,783,753,817
20251117_140115,0,50,,,hsv,,623,975,657,1025
20251117_140115,1,112,,,hsv,,863,945,955,1057
20251117_140115,2,136,,,hsv,,1272,944,1332,1080
20251117_140115,3,97,,,hsv,,671,943,717,1040
20251117_140115,4,146,,,hsv,,1178,928,1284,1074
20251117_140115,5,45,,,hsv,,895,898,920,943
